Ramal;Arrecadado;Grupo;Endereço;Numero
6181;208,22;1;R.. Marinheiros, 62, Arquipelago, 90090-110;62
23922;89,14;1;R.. Arno Kappel, 169, Farrapos, 90245-100;169
38440;3.248,97;1;Trav.. Venezuela, 40, Navegantes, 90240-220;40
45365;113,40;1;R.. Padre Diogo Feijo, 352, Navegantes, 90240-420;352
45543;785,47;1;R.. Padre Diogo Feijo, 339, Navegantes, 90240-420;339
47708;78,16;1;Av.. Farrapos, 3781, Navegantes, 90220-007;3781
53260;122,27;1;Av.. Presidente Franklin Roosevelt, 324, Navegantes, 90230-000;324
55409;36,07;1;R.. Dr Joao Inacio, 1310, Navegantes, 90230-181;1310
59986;33,94;1;Av.. Ceara, 1016, Sao Joao, 90240-511;1016
64165;1.126,25;1;Av.. Brasil, 399, Sao Geraldo, 90230-061;399
66117;237,18;1;Av.. Sao Paulo, 593, Sao Geraldo, 90230-161;593
70718;608,89;1;R.. do Parque, 375, Floresta, 90230-200;375
75388;965,45;1;Av.. Presidente Franklin Roosevelt, 969, Sao Geraldo, 90230-002;969
76040;781,55;1;Av.. Guido Mondin, 180, Sao Geraldo, 90230-260;180
77828;1.077,04;1;Av.. Sao Pedro, 613, Sao Geraldo, 90230-120;613
77968;581,08;1;Av.. Farrapos, 2470, Sao Geraldo, 90220-002;2470
80810;2.478,88;1;Av.. Brasil, 1206, Navegantes, 90230-060;1206
81000;825,28;1;Av.. Ceara, 1311, Navegantes, 90240-511;1311
81299;6.826,63;1;Av.. Brasil, 1454, Sao Joao, 90230-060;1454
85359;4.783,97;1;Av.. Amazonas, 639, Sao Geraldo, 90240-541;639
86614;2.126,27;1;Av.. Para, 820, Sao Geraldo, 90240-591;820
88030;2.182,11;1;Av.. Guido Mondin, 750, Sao Geraldo, 90230-260;750
89117;291,73;1;Av.. Sao Pedro, 778, Sao Geraldo, 90230-123;778
92380;3.630,24;1;Av.. Sao Pedro, 1201, Sao Geraldo, 90230-122;1201
103640;20.360,27;1;R.. Voluntarios da Patria, 1889, Floresta, 90230-011;1889
104965;444,89;1;R.. Gaspar Martins, 268, Floresta, 90220-160;268
115070;11.278,76;1;Av.. Cristovao Colombo, 870, Floresta, 90560-001;870
115452;166,94;1;Av.. Farrapos, 122, Floresta, 90220-000;122
115460;300,33;1;Av.. Farrapos, 122, Floresta, 90220-000;122
115843;448,68;1;Av.. Farrapos, 336, Floresta, 90220-000;336
116432;236,42;1;R.. Garibaldi, 518, Floresta, 90035-050;518
116530;1.988,77;1;R.. Garibaldi, 472, Floresta, 90035-050;472
117072;970,72;1;R.. Ernesto Alves, 94, Floresta, 90220-190;94
117129;288,69;1;R.. Ernesto Alves, 62, Floresta, 90220-190;62
119270;471,98;1;R.. Garibaldi, 628, Floresta, 90035-050;628
119342;30,02;1;R.. Santo Antonio, 87, Floresta, 90220-011;87
121754;111,22;1;R.. Pelotas, 379, Floresta, 90220-110;379
121789;30,02;1;R.. Pelotas, 411, Floresta, 90220-110;411
122599;1.031,65;1;R.. Ramiro Barcelos, 471, Floresta, 90035-004;471
123749;1.130,72;1;R.. Marques de Alegrete, 191, Sao Joao, 91020-030;191
124079;1.199,22;1;Av.. Benjamin Constant, 333, Sao Joao, 90550-003;333
125911;30,02;1;Av.. Benjamin Constant, 413, Sao Joao, 90550-003;413
132551;475,85;1;Av.. Sertorio, 3143, Santa m Goretti, 91030-541;3143
132829;1.042,21;1;R.. Piraju, 10, Santa m Goretti, 91030-190;10
134295;42,77;1;R.. Sao Nicolau, 1282, Santa m Goretti, 91030-230;1282
140260;730,24;2;R.. Angelo Dourado, 10, Anchieta, 90200-060;10
141232;2.263,77;2;Av.. das Industrias, 80, Anchieta, 90200-290;80
182079;214,78;2;Av.. Bernardino Silveira de Amorim, 658, 91140-410;658
182311;629,72;2;Av.. Bernardino Silveira de Amorim, 124, Sarandi, 91140-410;124
192910;415,30;2;Av.. Alcides Maia, 420, Sarandi, 91120-440;420
196983;136,88;2;R.. Jose Huberto Bronca, 114, Sarandi, 91120-010;114
199303;60,10;2;R.. Vieira da Silva, 106, Sarandi, 91120-210;106
206830;257,19;2;R.. Oliveira Lopes, 26, Sarandi, 91120-430;26
214329;289,98;2;R.. Senhor do bom fim, 1023, Sarandi, 91140-380;1023
219487;151,39;2;R.. Senhor do bom fim, 1103, Sarandi, 91140-380;1103
227145;1.125,77;2;Av.. Bernardino Silveira Pastoriza, 8, Sta Rosa Lima, 91160-310;8
239283;30,08;2;R.. Bento Rosa, 182, Sarandi, 91110-260;182
242063;4.414,95;2;Av.. Alcides s Severiano, 99, Sarandi, 91130-500;99
242462;39,62;2;Av.. Assis Brasil, 6395, Sarandi, 91140-001;6395
244040;2.332,02;2;Av.. Salvador Leao, 391, Sarandi, 91130-700;391
244147;199,59;2;Al.. Tres de Outubro, 360, Sarandi, 91130-470;360
257168;148,48;2;R.. Zeferino Dias, 58, Sarandi, 91130-480;58
262552;748,63;2;R.. Dona Alzira, 314, Sarandi, 91110-010;314
272710;336,88;3;R.. Carlos von Koseritz, 354, Sao Joao, 90540-030;354
277088;895,43;3;R.. Marcelo Gama, 424, Higienopolis, 90540-040;424
281727;754,25;3;Av.. Cristovao Colombo, 2614, Sao Joao, 90560-002;2614
291234;1.205,27;3;R.. Pedro Lessa, 280, Jardim Floresta, 91040-540;280
308382;1.663,41;3;R.. Ricalde Marques, 114, Jar sao Pedro, 91040-280;114
333069;30,02;3;Av.. Assis Brasil, 795, Passo da Areia, 91010-004;795
343021;147,96;3;Av.. Assis Brasil, 117, Sao Joao, 91010-004;117
348570;983,57;3;R.. Dom Pedro ii, 998, Higienopolis, 90550-141;998
354821;2.147,46;3;R.. Marechal Jose Inacio da Silva, 404, Passo da Areia, 90520-280;404
363278;5,73;3;Av.. dos Industriarios, 619, Passo da Areia, 90520-400;619
372749;461,78;3;R.. Jary, 110, Passo da Areia, 91350-170;110
382574;222,18;3;R.. Andarai, 896, Passo da Areia, 91350-110;896
383988;210,63;3;R.. Jary, 680, Passo da Areia, 91350-170;680
395056;2.356,27;3;R.. Senador Annibal di Primio Beck, 390, Boa Vista, 90480-180;390
401390;3.829,35;4;R.. Dom Diogo de Souza, 100, Cristo Redentor, 91350-000;100
401404;7.294,11;4;R.. Dom Diogo de Souza, 100, Cristo Redentor, 91350-000;100
