Ramal;Data;Divida data Solicitacao
3252191;Wed Jun 01 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
351219;Wed Jun 01 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2;Wed Jun 01 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3166201;Wed Jun 01 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3126005;Wed Jun 01 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2092344;Wed Jun 01 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3511219;Wed Jun 01 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2562260;Wed Jun 01 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3711153;Wed Jun 01 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1293931;Wed Jun 01 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3067270;Wed Jun 01 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1014943;Wed Jun 01 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1128400;Wed Jun 01 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3051528;Wed Jun 01 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3398137;Wed Jun 01 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3659070;Wed Jun 01 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1300911;Wed Jun 01 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2045753;Wed Jun 01 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3038610;Thu Jun 02 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
14;Thu Jun 02 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
792977;Thu Jun 02 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1295225;Thu Jun 02 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3826031;Thu Jun 02 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1097750;Thu Jun 02 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
246027;Thu Jun 02 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
344249;Thu Jun 02 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
574260;Thu Jun 02 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3643433;Thu Jun 02 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2763974;Thu Jun 02 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3434702;Thu Jun 02 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1519557;Thu Jun 02 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1996371;Thu Jun 02 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
577367;Thu Jun 02 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3178633;Thu Jun 02 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
801739;Thu Jun 02 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2;Thu Jun 02 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
5;Thu Jun 02 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3812685;Thu Jun 02 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3717259;Fri Jun 03 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2103834;Fri Jun 03 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3468283;Fri Jun 03 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2996928;Fri Jun 03 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
256480;Fri Jun 03 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3812685;Fri Jun 03 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2100827;Fri Jun 03 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
5;Fri Jun 03 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
12;Fri Jun 03 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
249980;Fri Jun 03 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3643433;Fri Jun 03 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
139203;Fri Jun 03 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1686690;Fri Jun 03 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
585092;Fri Jun 03 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
5;Sat Jun 04 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2643677;Sat Jun 04 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2314177;Sat Jun 04 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2675625;Sat Jun 04 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1295578;Sat Jun 04 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3570746;Sun Jun 05 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2070340;Sun Jun 05 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3827070;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1633040;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
605352;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
728055;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
5;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3117472;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1717995;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2078163;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1693310;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1111914;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1729284;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2777606;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
458384;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
335673;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1217623;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2103834;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
953857;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3058344;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2842807;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1211196;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1504711;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2393280;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
690503;Mon Jun 06 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1977989;Tue Jun 07 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
19;Tue Jun 07 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3083870;Tue Jun 07 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1295578;Tue Jun 07 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
797871;Tue Jun 07 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
5;Tue Jun 07 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2252937;Tue Jun 07 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
215341;Tue Jun 07 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2353202;Tue Jun 07 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2867079;Tue Jun 07 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2610760;Tue Jun 07 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1036840;Tue Jun 07 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1425587;Tue Jun 07 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1535897;Tue Jun 07 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2;Tue Jun 07 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
558842;Tue Jun 07 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
0;Tue Jun 07 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
286176;Tue Jun 07 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3679870;Tue Jun 07 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3328708;Wed Jun 08 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3279260;Wed Jun 08 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3770559;Wed Jun 08 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2335220;Wed Jun 08 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2;Wed Jun 08 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1007270;Wed Jun 08 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
